data,n,iterativo,recursivo
Tue Sep 20 17:53:47 BRT 2022,100000,448,4146
Tue Sep 20 17:54:02 BRT 2022,100000,451,4113
Tue Sep 20 17:54:17 BRT 2022,100000,442,4176
Tue Sep 20 17:54:31 BRT 2022,100000,451,4165
Tue Sep 20 17:54:46 BRT 2022,100000,449,4199
Tue Sep 20 17:55:01 BRT 2022,100000,452,4158
Tue Sep 20 17:55:16 BRT 2022,100000,460,4201
Tue Sep 20 17:55:30 BRT 2022,100000,455,4141
Tue Sep 20 17:55:45 BRT 2022,100000,441,4149
Tue Sep 20 17:56:00 BRT 2022,100000,439,4112
Tue Sep 20 17:56:15 BRT 2022,100000,447,4130
Tue Sep 20 17:56:29 BRT 2022,100000,447,4105
Tue Sep 20 17:56:44 BRT 2022,100000,451,4124
Tue Sep 20 17:56:59 BRT 2022,100000,445,4278
Tue Sep 20 17:57:14 BRT 2022,100000,450,4134
Tue Sep 20 17:57:28 BRT 2022,100000,445,4125
Tue Sep 20 17:57:43 BRT 2022,100000,454,4170
Tue Sep 20 17:57:58 BRT 2022,100000,450,4203
Tue Sep 20 17:58:13 BRT 2022,100000,457,4306
Tue Sep 20 17:58:28 BRT 2022,100000,443,4192
Tue Sep 20 17:58:42 BRT 2022,100000,607,4306
Tue Sep 20 17:58:48 BRT 2022,100000,440,4186
